date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:34:20	181108/181108	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2264a9a147-2c374%22	https://demo.bootstrapdash.com/majestic-free/template/fonts/Roboto/Roboto-Regular.eot?	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/fonts/Roboto/Roboto-Regulard41d.eot	(from https://demo.bootstrapdash.com/majestic-free/template/css/style.css)
21:34:20	93388/93388	---M--	200	added ('OK')	application/font-woff	etag:%2264a9a147-16ccc%22	https://demo.bootstrapdash.com/majestic-free/template/fonts/Roboto/Roboto-Regular.woff	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/fonts/Roboto/Roboto-Regular.woff	(from https://demo.bootstrapdash.com/majestic-free/template/css/style.css)
21:34:21	180852/180852	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2264a9a147-2c274%22	https://demo.bootstrapdash.com/majestic-free/template/fonts/Roboto/Roboto-Black.eot	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/fonts/Roboto/Roboto-Black.eot	(from https://demo.bootstrapdash.com/majestic-free/template/css/style.css)
21:34:21	180932/180932	---M--	200	added ('OK')	application/octet-stream	etag:%2264a9a147-2c2c4%22	https://demo.bootstrapdash.com/majestic-free/template/fonts/Roboto/Roboto-Regular.ttf	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/fonts/Roboto/Roboto-Regular.ttf	(from https://demo.bootstrapdash.com/majestic-free/template/css/style.css)
21:34:21	180852/180852	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2264a9a147-2c274%22	https://demo.bootstrapdash.com/majestic-free/template/fonts/Roboto/Roboto-Black.eot?	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/fonts/Roboto/Roboto-Blackd41d.eot	(from https://demo.bootstrapdash.com/majestic-free/template/css/style.css)
21:34:22	66148/66148	---M--	200	added ('OK')	application/font-woff2	etag:%2264a9a147-10264%22	https://demo.bootstrapdash.com/majestic-free/template/fonts/Roboto/Roboto-Black.woff2	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/fonts/Roboto/Roboto-Black.woff2	(from https://demo.bootstrapdash.com/majestic-free/template/css/style.css)
21:34:22	94016/94016	---M--	200	added ('OK')	application/font-woff	etag:%2264a9a147-16f40%22	https://demo.bootstrapdash.com/majestic-free/template/fonts/Roboto/Roboto-Black.woff	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/fonts/Roboto/Roboto-Black.woff	(from https://demo.bootstrapdash.com/majestic-free/template/css/style.css)
21:34:23	180652/180652	---M--	200	added ('OK')	application/octet-stream	etag:%2264a9a147-2c1ac%22	https://demo.bootstrapdash.com/majestic-free/template/fonts/Roboto/Roboto-Black.ttf	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/fonts/Roboto/Roboto-Black.ttf	(from https://demo.bootstrapdash.com/majestic-free/template/css/style.css)
21:34:24	165567/165567	---M--	200	added ('OK')	image/jpeg	etag:%2264a9a147-286bf%22	https://demo.bootstrapdash.com/majestic-free/template/images/auth/login-bg.jpg	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/images/auth/login-bg.jpg	(from https://demo.bootstrapdash.com/majestic-free/template/css/style.css)
21:34:25	212664/212664	---M--	200	added ('OK')	image/jpeg	etag:%2264a9a147-33eb8%22	https://demo.bootstrapdash.com/majestic-free/template/images/auth/lockscreen-bg.jpg	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/images/auth/lockscreen-bg.jpg	(from https://demo.bootstrapdash.com/majestic-free/template/css/style.css)
21:34:25	275426/275426	---M--	200	added ('OK')	image/jpeg	etag:%2264a9a147-433e2%22	https://demo.bootstrapdash.com/majestic-free/template/images/auth/register-bg.jpg	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/images/auth/register-bg.jpg	(from https://demo.bootstrapdash.com/majestic-free/template/css/style.css)
21:34:25	398/398	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264a9afc6-18e%22	https://demo.bootstrapdash.com/majestic-free/template/js/file-upload.js	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/js/file-upload.js	(from https://demo.bootstrapdash.com/majestic-free/template/pages/forms/basic_elements.html)
21:34:26	8010/8010	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264a9afc6-1f4a%22	https://demo.bootstrapdash.com/majestic-free/template/js/chart.js	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/js/chart.js	(from https://demo.bootstrapdash.com/majestic-free/template/pages/charts/chartjs.html)
21:34:26	12977/12977	---M--	200	added ('OK')	image/jpeg	etag:%2264a9a147-32b1%22	https://demo.bootstrapdash.com/majestic-free/template/images/faces/face1.jpg	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/images/faces/face1.jpg	(from https://demo.bootstrapdash.com/majestic-free/template/pages/tables/basic-table.html)
21:34:26	12222/12222	---M--	200	added ('OK')	image/jpeg	etag:%2264a9a147-2fbe%22	https://demo.bootstrapdash.com/majestic-free/template/images/faces/face6.jpg	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/images/faces/face6.jpg	(from https://demo.bootstrapdash.com/majestic-free/template/pages/tables/basic-table.html)
21:34:27	10400/10400	---M--	200	added ('OK')	image/jpeg	etag:%2264a9a147-28a0%22	https://demo.bootstrapdash.com/majestic-free/template/images/faces/face7.jpg	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/images/faces/face7.jpg	(from https://demo.bootstrapdash.com/majestic-free/template/pages/tables/basic-table.html)
21:34:28	14222/14222	---M--	200	added ('OK')	image/jpeg	etag:%2264a9a147-378e%22	https://demo.bootstrapdash.com/majestic-free/template/images/faces/face13.jpg	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/images/faces/face13.jpg	(from https://demo.bootstrapdash.com/majestic-free/template/pages/samples/lock-screen.html)
21:34:28	835/835	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264a9afc6-343%22	https://demo.bootstrapdash.com/majestic-free/template/js/documentation.js	C:/My%20Web%20Sites/Admin%20tamplate/demo.bootstrapdash.com/majestic-free/template/js/documentation.js	(from https://demo.bootstrapdash.com/majestic-free/template/documentation/documentation.html)
